Brand | Segment | Generation/Series | Family | Model | Year | Cores/Threads | P+E | Max Turbo (GHz) | Recommended
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i9 | i9-9900KS | 2019 | 8C/16T | P:8 E:0 | 5.0 | 7
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i9 | i9-9900K | 2019 | 8C/16T | P:8 E:0 | 5.0 | 7
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i9 | i9-9900KF | 2019 | 8C/16T | P:8 E:0 | 5.0 | 7
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i7 | i7-9700K | 2019 | 8C/8T | P:8 E:0 | 4.9 | 7
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i7 | i7-9700KF | 2019 | 8C/8T | P:8 E:0 | 4.9 | 7
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i5 | i5-9600K | 2019 | 6C/6T | P:6 E:0 | 4.6 | 5
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i5 | i5-9600KF | 2019 | 6C/6T | P:6 E:0 | 4.6 | 5
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i5 | i5-9400 | 2019 | 6C/6T | P:6 E:0 | 4.1 | 5
Intel | Desktop | 9th Gen (Coffee Lake Refresh) | Core i5 | i5-9400F | 2019 | 6C/6T | P:6 E:0 | 4.1 | 5
Intel | Desktop | 10th Gen (Comet Lake) | Core i9 | i9-10900K | 2020 | 10C/20T | P:10 E:0 | 5.3 | 7
Intel | Desktop | 10th Gen (Comet Lake) | Core i9 | i9-10900KF | 2020 | 10C/20T | P:10 E:0 | 5.3 | 7
Intel | Desktop | 10th Gen (Comet Lake) | Core i9 | i9-10900 | 2020 | 10C/20T | P:10 E:0 | 5.2 | 7
Intel | Desktop | 10th Gen (Comet Lake) | Core i7 | i7-10700K | 2020 | 8C/16T | P:8 E:0 | 5.1 | 7
Intel | Desktop | 10th Gen (Comet Lake) | Core i7 | i7-10700KF | 2020 | 8C/16T | P:8 E:0 | 5.1 | 7
Intel | Desktop | 10th Gen (Comet Lake) | Core i7 | i7-10700 | 2020 | 8C/16T | P:8 E:0 | 4.8 | 7
Intel | Desktop | 10th Gen (Comet Lake) | Core i5 | i5-10600K | 2020 | 6C/12T | P:6 E:0 | 4.8 | 5
Intel | Desktop | 10th Gen (Comet Lake) | Core i5 | i5-10600KF | 2020 | 6C/12T | P:6 E:0 | 4.8 | 5
Intel | Desktop | 10th Gen (Comet Lake) | Core i5 | i5-10600 | 2020 | 6C/12T | P:6 E:0 | 4.8 | 5
Intel | Desktop | 10th Gen (Comet Lake) | Core i5 | i5-10400 | 2020 | 6C/12T | P:6 E:0 | 4.3 | 5
Intel | Desktop | 10th Gen (Comet Lake) | Core i5 | i5-10400F | 2020 | 6C/12T | P:6 E:0 | 4.3 | 5
Intel | Desktop | 10th Gen (Comet Lake) | Core i3 | i3-10100 | 2020 | 4C/8T | P:4 E:0 | 4.3 | 3
Intel | Desktop | 10th Gen (Comet Lake) | Core i3 | i3-10100F | 2020 | 4C/8T | P:4 E:0 | 4.3 | 3
Intel | Desktop | 11th Gen (Rocket Lake) | Core i9 | i9-11900K | 2021 | 8C/16T | P:8 E:0 | 5.3 | 7
Intel | Desktop | 11th Gen (Rocket Lake) | Core i9 | i9-11900KF | 2021 | 8C/16T | P:8 E:0 | 5.3 | 7
Intel | Desktop | 11th Gen (Rocket Lake) | Core i9 | i9-11900 | 2021 | 8C/16T | P:8 E:0 | 5.2 | 7
Intel | Desktop | 11th Gen (Rocket Lake) | Core i7 | i7-11700K | 2021 | 8C/16T | P:8 E:0 | 5.0 | 7
Intel | Desktop | 11th Gen (Rocket Lake) | Core i7 | i7-11700KF | 2021 | 8C/16T | P:8 E:0 | 5.0 | 7
Intel | Desktop | 11th Gen (Rocket Lake) | Core i7 | i7-11700 | 2021 | 8C/16T | P:8 E:0 | 4.9 | 7
Intel | Desktop | 11th Gen (Rocket Lake) | Core i5 | i5-11600K | 2021 | 6C/12T | P:6 E:0 | 4.9 | 5
Intel | Desktop | 11th Gen (Rocket Lake) | Core i5 | i5-11600KF | 2021 | 6C/12T | P:6 E:0 | 4.9 | 5
